EN,IT
click,clic
tap,rubinetto
move,mossa
hover,librarsi
type,tipo
enter,accedere
select,selezionare
choose,scegliere
read,leggere
fetch,andare a prendere
show,mostrare
print,stampare
save,salvare
echo,eco
dump,cumulo di rifiuti
write,scrivi
snap,schiocco
table,tavolo
mouse,topo
keyboard,tastiera
live,vivere
download,scaricare
upload,caricare
load,caricare
receive,ricevere
frame,telaio
popup,apparire
wait,aspettare
timeout,tempo scaduto
seconds,secondi
second,secondo
api,api
dom,dom
js,js
else if,altrimenti se
else,altro
if,se
for,per
while,mentre
check,dai un'occhiata
more than or equals to,più o uguale a
more than or equal to,più o uguale a
greater than or equals to,maggiore o uguale a
greater than or equal to,maggiore o uguale a
higher than or equals to,superiore o uguale a
higher than or equal to,superiore o uguale a
less than or equals to,inferiore o uguale a
less than or equal to,minore o uguale a
lesser than or equals to,minore o uguale a
lesser than or equal to,minore o uguale a
lower than or equals to,inferiore o uguale a
lower than or equal to,inferiore o uguale a
more than,più di
greater than,più grande di
higher than,superiore a
less than,meno di
lesser than,minore di
lower than,piu 'basso di
not equals to,non è uguale a
not equal to,non uguale a
equals to,uguale a
equal to,uguale a
not contains,non contiene
not contain,non contenere
contains,contiene
contain,contenere
and,e
or,o
from,a partire dal
to,a
as,come
title(),titolo()
url(),url()
text(),testo()
timer(),timer()
count(),contare()
present(),presente()
visible(),visibile()
mouse_xy(),topo_xy()
mouse_x(),topo_x()
mouse_y(),topo_y()
